season,player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2023,John Collins,PF,6.1,11.9,0.508,12.2,0.661,0.297,0.209,0.109,0.045,0.339,0.619,0.292,0.792,0.957,0.115,0.408,0.296
2023,John Konchar,SG,3.3,7.7,0.431,15.3,0.447,0.294,0.109,0.028,0.016,0.553,0.545,0.339,0.769,0.95,0.028,0.525,0.355
2023,Jonas Valančiūnas,C,8.2,14.9,0.547,8.2,0.866,0.364,0.33,0.134,0.039,0.134,0.577,0.349,0.578,1,0.086,0.046,0.2
2023,Jonathan Kuminga,PF,6.7,12.8,0.525,10.7,0.706,0.332,0.28,0.058,0.036,0.294,0.59,0.37,0.643,0.944,0.189,0.425,0.419
2023,Jordan Clarkson,SG,8.3,18.7,0.444,15.7,0.555,0.109,0.301,0.13,0.016,0.445,0.53,0.338,0.215,0.748,0.016,0.12,0.4
2023,Jordan Goodwin,PG,5.1,11.5,0.448,14,0.666,0.187,0.255,0.127,0.096,0.334,0.511,0.322,0.242,0.868,0.025,0.212,0.52
2023,Jordan Nwora,SF,5.9,13.5,0.436,15.5,0.526,0.231,0.153,0.074,0.067,0.474,0.462,0.408,0.565,0.93,0.04,0.284,0.4
2023,Jordan Poole,PG,8.1,18.7,0.43,17.3,0.502,0.134,0.21,0.081,0.077,0.498,0.524,0.336,0.446,0.701,0.024,0.118,0.333
2023,Jose Alvarado,PG,5.5,13.4,0.411,15.6,0.495,0.186,0.243,0.051,0.014,0.505,0.488,0.336,0.381,0.94,0,0.287,0.38
2023,Josh Christopher,SG,7,15.1,0.465,11.9,0.729,0.222,0.289,0.188,0.03,0.271,0.55,0.236,0.348,0.762,0.082,0.191,0.235
2023,Josh Giddey,SG,8.2,17,0.482,9.6,0.791,0.301,0.381,0.089,0.021,0.209,0.524,0.325,0.363,0.934,0.011,0.128,0.4
2023,Josh Green,SG,4.8,8.9,0.537,13.1,0.558,0.285,0.199,0.06,0.013,0.442,0.643,0.402,0.664,1,0.068,0.698,0.39
2023,Josh Hart,SF-SG,4,7.6,0.529,10.6,0.685,0.444,0.15,0.065,0.025,0.315,0.601,0.372,0.444,1,0.019,0.415,0.412
2023,Josh Hart,SF,3.9,7.7,0.504,10.6,0.691,0.455,0.132,0.072,0.033,0.309,0.594,0.304,0.47,1,0.019,0.438,0.327
2023,Josh Okogie,SG,4.3,11,0.391,14.4,0.524,0.28,0.155,0.051,0.039,0.476,0.442,0.335,0.448,0.939,0.087,0.462,0.319
2023,Josh Richardson,SG,5.6,13,0.431,18.8,0.471,0.09,0.108,0.164,0.108,0.529,0.506,0.365,0.432,0.916,0.011,0.16,0.447
2023,Jrue Holiday,PG,8.1,16.9,0.479,15.3,0.598,0.194,0.216,0.096,0.093,0.402,0.542,0.384,0.247,0.43,0.007,0.117,0.458
2023,JT Thor,PF,3.5,8.8,0.399,15.8,0.483,0.193,0.164,0.088,0.038,0.517,0.487,0.317,0.679,0.974,0.05,0.553,0.382
2023,Juan Toscano-Anderson,SF,3.3,7.4,0.448,11.2,0.699,0.294,0.308,0.063,0.035,0.301,0.56,0.186,0.661,1,0.035,0.465,0.2
2023,Julius Randle,PF,8.7,18.8,0.459,15.3,0.556,0.22,0.149,0.123,0.064,0.444,0.553,0.343,0.382,0.752,0.051,0.142,0.333
2023,Jusuf Nurkić,C,6.8,13.1,0.519,8.6,0.764,0.451,0.279,0.018,0.016,0.236,0.567,0.361,0.594,1,0.044,0.126,0.333
2023,Kawhi Leonard,SF,9.2,17.9,0.512,14.9,0.713,0.141,0.178,0.225,0.169,0.287,0.551,0.416,0.333,0.644,0.049,0.192,0.521
2023,Keegan Murray,SF,5.4,11.8,0.453,18.1,0.359,0.18,0.107,0.042,0.029,0.641,0.527,0.411,0.709,0.976,0.058,0.285,0.434
2023,Keita Bates-Diop,SF,5.9,11.5,0.508,10.4,0.695,0.34,0.303,0.047,0.004,0.305,0.557,0.394,0.65,0.982,0.039,0.43,0.377
2023,Keldon Johnson,SF,8.8,19.4,0.452,12.7,0.634,0.27,0.27,0.08,0.014,0.366,0.523,0.329,0.509,0.903,0.022,0.226,0.348
2023,Kelly Olynyk,C,5.2,10.3,0.499,14.5,0.576,0.223,0.268,0.048,0.038,0.424,0.576,0.394,0.643,0.968,0.025,0.203,0.438
2023,Kendrick Nunn,SG-PG,7.1,16.8,0.424,17,0.504,0.127,0.18,0.127,0.071,0.496,0.493,0.354,0.366,0.696,0.022,0.229,0.333
2023,Kenrich Williams,PF,5.3,10.3,0.517,13.4,0.613,0.318,0.142,0.09,0.064,0.387,0.608,0.373,0.659,1,0.066,0.343,0.413
2023,Kentavious Caldwell-Pope,SG,4.4,9.6,0.462,17.5,0.495,0.139,0.117,0.081,0.158,0.505,0.502,0.423,0.847,0.926,0.025,0.417,0.398
2023,Kenyon Martin Jr.,SF,6.4,11.3,0.569,9.7,0.7,0.417,0.281,0.003,0,0.3,0.679,0.315,0.772,1,0.275,0.236,0.353
2023,Kevin Huerter,SG,6.9,14.2,0.485,18.2,0.411,0.137,0.143,0.089,0.042,0.589,0.604,0.402,0.665,0.893,0.016,0.155,0.405
2023,Kevin Knox,PF-SF,5.7,12.6,0.458,16.6,0.44,0.235,0.102,0.066,0.036,0.56,0.596,0.349,0.644,1,0.06,0.344,0.313
2023,Kevin Love,PF,4.8,12.3,0.389,20.2,0.302,0.106,0.104,0.052,0.04,0.698,0.516,0.334,0.576,0.939,0.012,0.149,0.341
2023,Kevin Porter Jr.,PG,7,15.7,0.442,15.7,0.564,0.153,0.221,0.115,0.076,0.436,0.501,0.366,0.18,0.525,0.054,0.117,0.489
2023,Kevon Looney,C,4.4,7.1,0.63,3.5,0.997,0.557,0.365,0.044,0.031,0.003,0.632,0,0.669,NA,0.177,0,NA
2023,Killian Hayes,PG,5.1,13.6,0.377,15.7,0.649,0.086,0.216,0.236,0.112,0.351,0.429,0.28,0.141,0.763,0.017,0.259,0.243
2023,Klay Thompson,SG,8.6,19.8,0.436,19.6,0.416,0.058,0.123,0.114,0.121,0.584,0.47,0.412,0.727,0.89,0.011,0.17,0.403
2023,Kristaps Porziņģis,C,8.6,17.3,0.498,15.1,0.65,0.166,0.228,0.162,0.094,0.35,0.559,0.385,0.622,0.949,0.095,0.053,0.526
2023,Kyle Anderson,PF,4.6,9.1,0.509,9.9,0.788,0.246,0.426,0.087,0.028,0.212,0.536,0.41,0.512,0.93,0.02,0.448,0.468
2023,Kyle Kuzma,PF,8.2,18.4,0.448,15.2,0.579,0.186,0.263,0.082,0.048,0.421,0.533,0.333,0.466,0.781,0.036,0.243,0.41
2023,Kyle Lowry,PG,4.1,10.2,0.404,19.4,0.361,0.14,0.093,0.082,0.045,0.639,0.509,0.345,0.292,0.757,0,0.177,0.455
2023,Kyrie Irving,PG,9.5,19.3,0.494,15.8,0.588,0.16,0.182,0.155,0.091,0.412,0.574,0.379,0.291,0.511,0.002,0.107,0.34
2023,Lamar Stevens,PF,4.1,9.3,0.448,11.7,0.67,0.34,0.16,0.139,0.031,0.33,0.513,0.316,0.788,1,0.108,0.642,0.262
2023,Larry Nance Jr.,PF,4.8,8,0.61,6.9,0.862,0.482,0.292,0.059,0.03,0.138,0.654,0.333,0.762,1,0.223,0.571,0.417
2023,Lauri Markkanen,SF,9,18.1,0.499,14.6,0.554,0.213,0.251,0.053,0.037,0.446,0.585,0.391,0.65,0.935,0.112,0.184,0.489
2023,LeBron James,PF,11.2,22.5,0.5,12.8,0.691,0.302,0.197,0.084,0.107,0.309,0.58,0.321,0.395,0.628,0.062,0.08,0.267
2023,Lonnie Walker IV,SG,6.6,14.6,0.448,15.7,0.528,0.195,0.188,0.055,0.089,0.472,0.522,0.365,0.572,0.923,0.055,0.273,0.412
2023,Luguentz Dort,SG,5.4,13.8,0.388,14.2,0.532,0.301,0.174,0.032,0.024,0.468,0.44,0.33,0.51,0.889,0.04,0.232,0.411
2023,Luka Dončić,PG,10.8,21.8,0.496,14.7,0.627,0.176,0.252,0.145,0.054,0.373,0.588,0.342,0.131,0.216,0.01,0.041,0.273
2023,Luke Kennard,SG,5.1,10.5,0.492,20.9,0.296,0.058,0.084,0.089,0.065,0.704,0.487,0.494,0.6,0.94,0,0.201,0.481
2023,Luke Kornet,C,5.1,7.6,0.665,4.6,0.924,0.671,0.212,0.041,0,0.076,0.701,0.231,0.764,1,0.376,0.538,0.286
2023,Malachi Flynn,PG,4.5,12.6,0.36,18.3,0.45,0.12,0.145,0.083,0.103,0.55,0.367,0.353,0.375,0.872,0,0.158,0.476
2023,Malaki Branham,SF,6.2,14.2,0.44,15.5,0.583,0.149,0.203,0.146,0.085,0.417,0.539,0.302,0.495,0.922,0.02,0.208,0.358
2023,Malcolm Brogdon,PG,7.3,15.1,0.484,14.6,0.594,0.195,0.24,0.083,0.075,0.406,0.51,0.444,0.342,0.659,0.007,0.158,0.447
2023,Malik Beasley,SG,6.4,16.1,0.395,21,0.298,0.036,0.131,0.073,0.058,0.702,0.484,0.357,0.511,0.855,0.006,0.167,0.373
2023,Malik Beasley,SG,6.5,16.4,0.396,21.1,0.296,0.028,0.135,0.07,0.063,0.704,0.485,0.359,0.5,0.817,0.006,0.185,0.356
2023,Malik Monk,SG,7.5,16.7,0.448,15.8,0.5,0.217,0.185,0.064,0.034,0.5,0.538,0.359,0.528,0.832,0.05,0.171,0.441
2023,Marcus Morris,PF,5.4,12.7,0.426,18.2,0.521,0.07,0.118,0.199,0.134,0.479,0.484,0.364,0.414,0.955,0.008,0.231,0.31
2023,Marcus Smart,PG,4.6,11.1,0.415,17.5,0.432,0.143,0.204,0.058,0.027,0.568,0.519,0.336,0.274,0.852,0.008,0.196,0.343
2023,MarJon Beauchamp,SF,4.9,12.5,0.395,17.5,0.416,0.21,0.095,0.041,0.07,0.584,0.485,0.331,0.551,0.872,0.058,0.387,0.345
2023,Markelle Fultz,PG,7.1,13.7,0.514,9.8,0.872,0.299,0.28,0.178,0.115,0.128,0.544,0.31,0.323,0.963,0.054,0.368,0.375
2023,Mason Plumlee,C,5.8,8.5,0.68,2.7,1,0.707,0.25,0.033,0.01,0,0.68,NA,0.657,NA,0.26,NA,NA
2023,Mason Plumlee,C,6,8.9,0.669,2.8,1,0.697,0.253,0.038,0.013,0,0.669,NA,0.623,NA,0.253,NA,NA
2023,Matisse Thybulle,SG,3.3,7.6,0.435,15.8,0.415,0.265,0.138,0.012,0,0.585,0.533,0.365,0.768,0.981,0.091,0.493,0.37
2023,Max Strus,SF,5.1,12.5,0.41,19.5,0.287,0.138,0.115,0.023,0.011,0.713,0.559,0.35,0.709,0.949,0.025,0.274,0.461
2023,Michael Porter Jr.,SF,8,16.4,0.487,18,0.444,0.168,0.103,0.062,0.111,0.556,0.579,0.414,0.767,0.926,0.053,0.187,0.518
2023,Mikal Bridges,SF,7.2,15.4,0.468,14.5,0.651,0.17,0.176,0.227,0.078,0.349,0.514,0.382,0.538,0.923,0.028,0.434,0.448
2023,Mikal Bridges,SF,6.2,13.5,0.463,14.1,0.658,0.185,0.177,0.224,0.073,0.342,0.503,0.387,0.605,0.98,0.035,0.46,0.475
2023,Mike Conley,PG,4.6,10.8,0.428,18.3,0.425,0.084,0.202,0.108,0.031,0.575,0.486,0.385,0.381,0.696,0,0.157,0.545
2023,Mike Muscala,C,5,11.1,0.449,20.6,0.291,0.096,0.072,0.082,0.041,0.709,0.588,0.391,0.86,0.988,0.021,0.242,0.4
2023,Miles McBride,PG,3.6,10.2,0.358,18.6,0.377,0.153,0.079,0.079,0.065,0.623,0.457,0.299,0.541,0.875,0.028,0.373,0.4
2023,Mitchell Robinson,C,4.3,6.3,0.671,1.2,1,0.918,0.075,0.004,0.004,0,0.671,NA,0.574,NA,0.521,NA,NA
2023,Monte Morris,PG,5.2,10.9,0.48,16.2,0.604,0.118,0.21,0.142,0.134,0.396,0.543,0.382,0.29,0.769,0,0.245,0.4
2023,Montrezl Harrell,C,6.6,11,0.598,4,0.971,0.627,0.297,0.043,0.005,0.029,0.616,0,0.656,NA,0.263,0.167,0
2023,Moritz Wagner,C,6.4,12.9,0.5,12.2,0.588,0.379,0.189,0.008,0.013,0.412,0.631,0.313,0.782,0.98,0.134,0.178,0.31
2023,Moses Moody,SG,4.8,10,0.476,17.1,0.405,0.225,0.132,0.031,0.018,0.595,0.641,0.363,0.695,0.98,0.101,0.348,0.34
2023,Myles Turner,C,7.9,14.5,0.548,12.3,0.66,0.307,0.254,0.071,0.029,0.34,0.638,0.373,0.773,0.968,0.095,0.096,0.458
2023,Naji Marshall,SF,5,11.5,0.433,13.3,0.618,0.229,0.294,0.082,0.012,0.382,0.513,0.303,0.53,0.985,0.026,0.39,0.318
2023,Nassir Little,SF,4.9,11.2,0.442,17.1,0.479,0.191,0.135,0.059,0.092,0.521,0.524,0.367,0.592,0.948,0.053,0.139,0.364
2023,Naz Reid,C,8.9,16.6,0.537,11.8,0.624,0.341,0.256,0.023,0.003,0.376,0.653,0.346,0.655,1,0.066,0.175,0.263
2023,Nic Claxton,C,6.6,9.3,0.705,2.7,0.997,0.671,0.303,0.022,0,0.003,0.708,0,0.763,NA,0.346,1,0
2023,Nick Richards,C,5.8,9.3,0.629,2.6,0.997,0.741,0.227,0.019,0.01,0.003,0.628,1,0.638,1,0.3,0,NA
2023,Nickeil Alexander-Walker,SG,5.3,12,0.444,16.9,0.461,0.139,0.207,0.044,0.071,0.539,0.515,0.384,0.329,0.803,0.01,0.277,0.386
2023,Nicolas Batum,PF,3.4,8,0.42,21.6,0.168,0.094,0.039,0.016,0.018,0.832,0.563,0.391,0.611,0.992,0.024,0.391,0.435
2023,Nikola Jokić,C,10,15.8,0.632,8.6,0.854,0.307,0.417,0.092,0.038,0.146,0.675,0.383,0.606,0.842,0.022,0.027,0.25
2023,Nikola Vučević,C,7.8,15.1,0.52,12.8,0.698,0.235,0.258,0.126,0.078,0.302,0.594,0.349,0.735,1,0.039,0.124,0.465
2023,Norman Powell,SG,7.8,16.3,0.479,14.1,0.596,0.241,0.207,0.087,0.061,0.404,0.534,0.397,0.527,0.877,0.025,0.317,0.484
2023,Obi Toppin,PF,6.4,14.4,0.446,16,0.411,0.289,0.095,0.019,0.007,0.589,0.593,0.344,0.863,0.965,0.148,0.47,0.353
2023,Ochai Agbaji,SG,4.9,11.5,0.427,16.9,0.409,0.15,0.21,0.026,0.023,0.591,0.532,0.355,0.762,0.988,0.054,0.412,0.457
2023,OG Anunoby,SF,6.4,13.4,0.476,13.6,0.585,0.293,0.174,0.062,0.056,0.415,0.539,0.387,0.566,0.958,0.13,0.398,0.466
2023,Onyeka Okongwu,C,6.2,9.7,0.638,4.6,0.974,0.61,0.239,0.05,0.074,0.026,0.647,0.308,0.712,1,0.209,0.769,0.4
2023,Oshae Brissett,SF,4.1,10.6,0.386,14.1,0.514,0.329,0.147,0.019,0.019,0.486,0.457,0.31,0.72,0.958,0.05,0.265,0.244
2023,P.J. Tucker,PF,1.8,4.2,0.427,16.5,0.378,0.173,0.151,0.036,0.018,0.622,0.482,0.393,0.732,0.982,0,0.914,0.398
2023,P.J. Washington,PF,6.6,14.8,0.444,14.8,0.562,0.198,0.242,0.06,0.061,0.438,0.518,0.348,0.74,0.919,0.05,0.22,0.351
2023,Paolo Banchero,PF,7.1,16.6,0.427,12.4,0.746,0.242,0.253,0.124,0.127,0.254,0.471,0.298,0.404,0.706,0.054,0.123,0.343
2023,Pascal Siakam,C,8.6,17.8,0.48,12.3,0.781,0.193,0.299,0.162,0.128,0.219,0.523,0.324,0.317,0.86,0.026,0.202,0.362
2023,Pat Connaughton,SG,4.1,10.5,0.392,20.3,0.235,0.152,0.071,0.005,0.007,0.765,0.566,0.339,0.75,0.982,0.019,0.339,0.358
2023,Patrick Beverley,PG,2.9,7.1,0.4,18.7,0.336,0.122,0.181,0.022,0.011,0.664,0.529,0.335,0.359,0.875,0.003,0.335,0.35
2023,Patrick Williams,PF,4.9,10.5,0.464,14.6,0.591,0.258,0.112,0.12,0.1,0.409,0.498,0.415,0.633,0.983,0.118,0.39,0.463
2023,Paul George,SG,8.5,18.6,0.457,16.7,0.576,0.145,0.14,0.132,0.157,0.424,0.521,0.371,0.322,0.614,0.042,0.134,0.491
2023,Paul Reed,C,5.9,10,0.593,4,0.971,0.665,0.22,0.057,0.029,0.029,0.606,0.167,0.691,1,0.153,0.167,0
2023,Precious Achiuwa,C,6.2,12.8,0.485,9.8,0.733,0.381,0.267,0.072,0.012,0.267,0.564,0.269,0.629,1,0.141,0.444,0.25
2023,Quentin Grimes,SG,4.8,10.2,0.468,17.9,0.324,0.248,0.047,0.018,0.012,0.676,0.641,0.386,0.776,0.994,0.043,0.327,0.474
2023,Reggie Bullock,SF,2.9,7.2,0.409,21.7,0.155,0.077,0.04,0.019,0.019,0.845,0.562,0.38,0.854,0.98,0.002,0.491,0.451
2023,Reggie Jackson,PG,5.7,13.9,0.411,16.3,0.55,0.13,0.216,0.102,0.103,0.45,0.474,0.333,0.257,0.854,0.008,0.253,0.384
2023,Reggie Jackson,PG,5.8,13.8,0.418,15.9,0.57,0.145,0.221,0.104,0.102,0.43,0.469,0.35,0.255,0.857,0.008,0.227,0.42
2023,RJ Barrett,SG,7.4,17.1,0.434,11.5,0.668,0.299,0.287,0.06,0.023,0.332,0.495,0.31,0.424,0.926,0.029,0.29,0.319
2023,Royce O'Neale,SF,3.4,8.9,0.386,19.6,0.293,0.155,0.118,0.015,0.005,0.707,0.379,0.389,0.394,0.975,0.01,0.15,0.349
2023,Rudy Gay,PF,4.8,12.7,0.38,17.3,0.547,0.105,0.171,0.157,0.115,0.453,0.484,0.254,0.526,1,0.045,0.338,0.318
2023,Rudy Gobert,C,6,9.2,0.659,2.5,0.995,0.778,0.19,0.022,0.004,0.005,0.663,0,0.744,NA,0.388,0,NA
2023,Rui Hachimura,PF,7,14.3,0.486,13.1,0.726,0.247,0.175,0.17,0.135,0.274,0.55,0.319,0.618,1,0.074,0.319,0.333
2023,Russell Westbrook,PG,7.3,16.8,0.436,11.8,0.711,0.305,0.229,0.103,0.075,0.289,0.487,0.311,0.23,0.663,0.023,0.227,0.231
2023,Russell Westbrook,PG,7.3,17.6,0.417,11.7,0.708,0.31,0.23,0.096,0.071,0.292,0.467,0.296,0.203,0.635,0.018,0.174,0.243
2023,Saddiq Bey,SF,6,14.1,0.422,15.8,0.5,0.22,0.178,0.053,0.049,0.5,0.483,0.361,0.381,0.914,0.037,0.356,0.416
2023,Saddiq Bey,SF,5.9,14.5,0.404,15.9,0.517,0.203,0.201,0.061,0.051,0.483,0.46,0.345,0.333,0.921,0.026,0.29,0.424
2023,Sam Hauser,PF,5,11.1,0.455,22.4,0.154,0.078,0.048,0.013,0.015,0.846,0.656,0.418,0.775,0.979,0.013,0.307,0.437
2023,Santi Aldama,PF,5.3,11.2,0.47,14.6,0.493,0.28,0.166,0.03,0.017,0.507,0.591,0.353,0.68,0.968,0.118,0.391,0.365
2023,Scottie Barnes,PF,6.2,13.7,0.456,10.8,0.78,0.277,0.321,0.099,0.083,0.22,0.505,0.281,0.493,0.841,0.087,0.339,0.316
2023,Seth Curry,SG,6.2,13.3,0.463,19.8,0.483,0.058,0.067,0.114,0.245,0.517,0.525,0.405,0.526,0.809,0,0.254,0.424
2023,Shaedon Sharpe,SG,6.2,13.1,0.472,15,0.563,0.289,0.114,0.049,0.111,0.437,0.559,0.36,0.559,0.882,0.108,0.322,0.407
2023,Shai Gilgeous-Alexander,PG,10.5,20.6,0.51,9.8,0.878,0.283,0.276,0.246,0.073,0.122,0.533,0.345,0.201,0.31,0.039,0.101,0.235
2023,Shake Milton,SG,5.5,11.6,0.479,12,0.706,0.3,0.245,0.119,0.042,0.294,0.521,0.378,0.416,0.911,0.008,0.257,0.316
2023,Simone Fontecchio,SF,5.4,14.7,0.369,18.5,0.388,0.106,0.157,0.067,0.058,0.612,0.43,0.33,0.731,0.952,0.042,0.225,0.395
2023,Spencer Dinwiddie,PG,6.1,13.9,0.438,15.7,0.533,0.186,0.206,0.092,0.05,0.467,0.498,0.369,0.118,0.602,0.021,0.182,0.506
2023,Spencer Dinwiddie,PG,6.3,13.8,0.455,16,0.509,0.184,0.197,0.079,0.048,0.491,0.504,0.405,0.135,0.63,0.023,0.211,0.556
2023,Stephen Curry,PG,10.4,21,0.493,18.8,0.436,0.107,0.191,0.063,0.076,0.564,0.579,0.427,0.371,0.593,0,0.097,0.597
2023,T.J. McConnell,PG,6.7,12.3,0.543,8.6,0.887,0.322,0.361,0.169,0.035,0.113,0.556,0.441,0.237,0.692,0,0.288,0.588
2023,Talen Horton-Tucker,SG,7,16.8,0.419,12.8,0.669,0.232,0.321,0.083,0.033,0.331,0.485,0.286,0.206,0.776,0.038,0.148,0.367
2023,Tari Eason,PF,6,13.4,0.448,9.2,0.739,0.433,0.262,0.029,0.015,0.261,0.486,0.343,0.473,0.983,0.126,0.285,0.367
2023,Taurean Prince,SF,5.3,11.4,0.467,15.7,0.488,0.216,0.172,0.047,0.053,0.512,0.557,0.381,0.748,0.946,0.013,0.418,0.432
2023,Terance Mann,SG,5.2,10.1,0.519,12.5,0.622,0.33,0.191,0.061,0.04,0.378,0.598,0.389,0.554,0.883,0.107,0.495,0.337
2023,Terence Davis,SG,6.6,15.6,0.423,18.8,0.332,0.151,0.118,0.033,0.03,0.668,0.537,0.366,0.508,0.921,0.038,0.247,0.4
2023,Terrence Ross,SG,5.4,12.6,0.43,19.7,0.445,0.037,0.08,0.178,0.151,0.555,0.507,0.368,0.629,0.937,0.019,0.264,0.441
2023,Terry Rozier,SG,8,19.3,0.415,15.1,0.575,0.194,0.199,0.101,0.081,0.425,0.48,0.327,0.326,0.655,0.003,0.289,0.301
2023,Thaddeus Young,PF,4.9,9,0.545,7.9,0.828,0.364,0.409,0.04,0.015,0.172,0.622,0.176,0.549,1,0.051,0.706,0.208
2023,Thomas Bryant,C,7.7,12.3,0.623,8.4,0.84,0.415,0.263,0.1,0.062,0.16,0.658,0.441,0.784,0.962,0.247,0.22,0.462
2023,Tim Hardaway Jr.,SG,5.7,14.2,0.401,19.7,0.351,0.109,0.093,0.09,0.059,0.649,0.431,0.385,0.641,0.896,0.014,0.271,0.389
2023,Tobias Harris,PF,6.3,12.5,0.501,13.2,0.617,0.26,0.22,0.102,0.034,0.383,0.57,0.389,0.495,0.937,0.07,0.389,0.405
2023,Torrey Craig,SF,4.2,9.2,0.456,15,0.494,0.266,0.138,0.062,0.028,0.506,0.518,0.395,0.57,0.99,0.044,0.474,0.45
2023,Trae Young,PG,8.5,19.7,0.429,15,0.669,0.159,0.245,0.15,0.116,0.331,0.476,0.335,0.174,0.325,0,0.05,0.304
2023,Tre Jones,PG,6.2,13.5,0.459,10.7,0.787,0.276,0.262,0.21,0.039,0.213,0.506,0.285,0.26,0.867,0.004,0.323,0.255
2023,Tre Mann,PG,6,15.2,0.393,17.2,0.487,0.126,0.204,0.108,0.05,0.513,0.475,0.315,0.267,0.605,0.012,0.121,0.452
2023,Trendon Watford,PF,5.5,9.8,0.56,8.9,0.802,0.35,0.359,0.08,0.012,0.198,0.602,0.391,0.641,1,0.019,0.125,0.25
2023,Trey Lyles,PF,5.4,11.8,0.458,15.8,0.412,0.279,0.123,0.007,0.002,0.588,0.595,0.363,0.69,0.989,0.088,0.354,0.435
2023,Trey Murphy III,SF,5.7,11.8,0.484,18,0.379,0.203,0.129,0.02,0.028,0.621,0.611,0.406,0.67,0.96,0.124,0.268,0.429
2023,Troy Brown Jr.,SF,3.9,9,0.43,17.5,0.396,0.166,0.148,0.032,0.049,0.604,0.505,0.381,0.667,0.953,0.03,0.395,0.405
2023,Tyler Herro,SG,7.5,17.1,0.439,17.4,0.516,0.094,0.19,0.155,0.077,0.484,0.497,0.378,0.391,0.704,0.012,0.171,0.446
2023,Tyrese Haliburton,PG,7.9,16.1,0.49,16.2,0.522,0.216,0.164,0.094,0.048,0.478,0.572,0.4,0.247,0.447,0.021,0.092,0.514
2023,Tyrese Maxey,SG,7.8,16.3,0.481,14.7,0.596,0.225,0.208,0.103,0.06,0.404,0.513,0.434,0.444,0.725,0.014,0.206,0.513
2023,Tyus Jones,PG,5.8,13.2,0.438,16.6,0.541,0.085,0.182,0.235,0.039,0.459,0.495,0.371,0.284,0.793,0,0.202,0.53
2023,Usman Garuba,PF,3.2,6.6,0.486,9.9,0.667,0.452,0.209,0.006,0,0.333,0.525,0.407,0.613,1,0.062,0.492,0.414
2023,Vlatko Čančar,PF,4.4,9.2,0.476,15.3,0.493,0.233,0.22,0.035,0.004,0.507,0.58,0.374,0.662,0.977,0.026,0.33,0.421
2023,Walker Kessler,C,6.3,8.8,0.72,2.7,0.993,0.671,0.304,0.002,0.014,0.007,0.723,0.333,0.67,1,0.343,0.333,0
2023,Wendell Carter Jr.,C,6.9,13.1,0.525,13.3,0.633,0.282,0.179,0.101,0.07,0.367,0.624,0.356,0.649,0.988,0.145,0.218,0.449
2023,Wenyen Gabriel,PF,5.4,9.1,0.596,6.1,0.862,0.523,0.312,0.019,0.008,0.138,0.647,0.278,0.676,0.9,0.092,0.528,0.263
2023,Wesley Matthews,SG,2.5,7,0.363,21,0.225,0.106,0.056,0.05,0.013,0.775,0.528,0.315,0.842,0.974,0,0.339,0.238
2023,Will Barton,SG,5,13.2,0.379,17.8,0.505,0.118,0.198,0.093,0.096,0.495,0.391,0.367,0.458,0.742,0.022,0.183,0.515
2023,Xavier Tillman Sr.,PF,5.7,9.3,0.614,5.5,0.951,0.516,0.31,0.111,0.013,0.049,0.632,0.267,0.712,1,0.095,0.533,0.125
2023,Yuta Watanabe,SF,4.4,9,0.491,16.4,0.418,0.224,0.138,0.017,0.039,0.582,0.557,0.444,0.722,1,0.06,0.533,0.514
2023,Zach Collins,C,7.1,13.7,0.518,11.1,0.732,0.301,0.297,0.082,0.051,0.268,0.571,0.374,0.581,1,0.044,0.061,0.222
2023,Zach LaVine,SG,8.8,18.1,0.485,14.9,0.608,0.284,0.112,0.067,0.145,0.392,0.556,0.375,0.335,0.647,0.042,0.138,0.467
2023,Zeke Nnaji,PF,5.4,9.7,0.561,9.9,0.668,0.52,0.138,0,0.01,0.332,0.71,0.262,0.72,1,0.168,0.369,0.25
2022,Aaron Gordon,PF,6.6,12.6,0.52,11.5,0.688,0.381,0.169,0.084,0.054,0.312,0.605,0.335,0.628,0.851,0.173,0.419,0.349
2022,Aaron Holiday,PG,5.3,11.9,0.447,13.1,0.695,0.175,0.299,0.166,0.056,0.305,0.477,0.379,0.348,0.718,0.003,0.155,0.438
2022,Aaron Nesmith,SF,4.5,11.4,0.396,18.4,0.368,0.126,0.154,0.033,0.055,0.632,0.612,0.27,0.805,0.935,0.027,0.383,0.205
2022,Aaron Wiggins,SG,4.6,10,0.463,12.7,0.591,0.249,0.318,0.018,0.006,0.409,0.573,0.304,0.561,0.976,0.05,0.362,0.34
2022,Al Horford,C,4.8,10.2,0.467,15.3,0.534,0.17,0.243,0.069,0.053,0.466,0.582,0.336,0.678,0.978,0.056,0.279,0.378
2022,Alec Burks,SG,4.4,11.3,0.391,17.4,0.466,0.124,0.165,0.111,0.066,0.534,0.378,0.404,0.43,0.752,0.004,0.226,0.432
2022,Aleksej Pokusevski,PF,5.4,13.3,0.408,14.6,0.568,0.2,0.248,0.07,0.05,0.432,0.498,0.289,0.535,0.947,0.075,0.203,0.325
